First Name,Last Name,Days Present,Days Absent
Ronna,Nellies,49,14
Rusty,Andriulis,62,1
Roberta,Oakeshott,45,18
Lola,Rubinfajn,21,42
Kamila,Benedtti,62,1
Avery,Colebourn,53,10
Valentino,Klimko,56,7
Cal,Shearwood,41,22
King,Truswell,57,6
Towney,Stichall,55,8
Aubrette,Mc Dermid,63,0
Adah,Chatres,27,36
Benedikt,Titterton,57,6
Rosina,Harberer,26,37
Panchito,Filinkov,55,8
Samara,Strike,60,3
Joane,McCormack,37,26
Griffie,Sitlinton,57,6
Gilberta,Silversmidt,51,12
Marjie,Matkovic,36,27
Uri,Cowterd,34,29
Korella,Mattisson,22,41
Findlay,Schonfelder,35,28
Jaquelyn,Jantzen,20,43
Davina,Gradwell,55,8
Nicolea,Selby,38,25
Moselle,Alelsandrovich,61,2
Honey,Nieass,45,18
Akim,Godfroy,43,20
Karole,Floch,49,14
Nata,Feldbaum,59,4
Jaquelin,Antonucci,36,27
Candra,Hallums,37,26
Den,Masters,31,32
Janifer,Marris,48,15
Carolus,Bremmer,30,33
Casey,Addicote,22,41
Brigida,De Ath,34,29
Kimberli,Severs,25,38
Maribeth,Blumson,49,14
Arabele,Rosenauer,28,35
Madison,Cominetti,25,38
Verina,Knoton,60,3
Wolfgang,Clubbe,34,29
Davin,Mazdon,36,27
Constantina,McIlwaine,32,31
Sayre,Merredy,37,26
Rodrick,Jeannot,34,29
Kain,Guerre,41,22
Blinni,Fieldstone,22,41
Annabell,Goscomb,23,40
Clayborn,Benazet,31,32
Mahala,Henze,57,6
Lanette,Berzen,61,2
Keefer,Ruckhard,60,3
Merrili,Truelock,61,2
Joete,Goutcher,41,22
Miguelita,Palfreman,23,40
Ossie,Mattes,41,22
Bear,Vernay,34,29
Teodor,Wragge,52,11
Daisie,Whitelaw,28,35
Emlynne,Littley,31,32
Britni,Walsh,38,25
Marys,Inseal,55,8
Paxton,Massow,42,21
Kerby,Scain,27,36
Johnathan,Lamplough,44,19
Jeni,Donald,61,2
Sylvia,Abrahamsohn,43,20
Cinnamon,Stoyle,62,1
Issi,Amey,28,35
Brion,Letson,58,5
Nappie,Sire,24,39
Pattie,Chapelle,33,30
Brynna,Armit,52,11
Gauthier,Bruinsma,57,6
Pren,Gudgeon,61,2
Wyn,Husthwaite,36,27
Allianora,Padrick,21,42
Malena,Bennough,50,13
Jarret,Winscom,39,24
Ree,Salmen,60,3
Hope,Dommerque,40,23
Guillermo,Trowle,59,4
Tibold,Cottingham,50,13
Cecilia,Poxton,53,10
Arri,Sleney,30,33
Regina,Isenor,20,43
Annalise,Roll,51,12
Othello,Blyth,35,28
Ave,Heyball,21,42
Friederike,Civitillo,54,9
Hayley,Rizzini,31,32
Blakelee,Monery,49,14
Jacenta,Cowton,37,26
Karlyn,Westmoreland,35,28
Yancey,Bachellier,61,2
Nerte,Lissandrini,62,1
Dorolice,Crosthwaite,36,27
Brantley,Thorley,63,0
Robin,Cypler,45,18
Phillie,Allsepp,35,28
Toddie,Artz,20,43
Marje,Antoshin,22,41
Rochella,Blazdell,54,9
Aryn,Thursfield,26,37
Isaiah,Antowski,37,26
Helli,Owbridge,31,32
Hadrian,Scourgie,31,32
Toddie,Nanetti,31,32
Inger,Sugar,20,43
Lezlie,Meyer,35,28
Rowland,Krinks,57,6
Fair,Baumber,58,5
Ekaterina,Graver,52,11
Farris,Spear,24,39
Shanie,Croisier,51,12
Fredric,Skerme,30,33
Christoph,Udall,26,37
